/var/spool/slurm-llnl/slurmd/job2259603/slurm_script: line 20: cd: /home/lgpu0417/deep-learning/assignment_2/part1/: Permission denied
 ------ Job mlp_pytorch is started ------- 
 
Training RNN
[2019-05-04 13:41] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 429.66, Accuracy = 0.11, Loss = 14.912
[2019-05-04 13:41] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 21401.22, Accuracy = 0.39, Loss = 2.237
[2019-05-04 13:41] Train Step 0510/10000, Batch Size = 128, Examples/Sec = 19238.55, Accuracy = 0.38, Loss = 2.151
[2019-05-04 13:41] Train Step 0520/10000, Batch Size = 128, Examples/Sec = 20685.48, Accuracy = 0.40, Loss = 2.148
[2019-05-04 13:41] Train Step 0530/10000, Batch Size = 128, Examples/Sec = 21378.21, Accuracy = 0.39, Loss = 2.155
[2019-05-04 13:41] Train Step 0540/10000, Batch Size = 128, Examples/Sec = 19664.88, Accuracy = 0.41, Loss = 1.763
[2019-05-04 13:41] Train Step 0550/10000, Batch Size = 128, Examples/Sec = 18770.40, Accuracy = 0.41, Loss = 1.816
[2019-05-04 13:41] Train Step 0560/10000, Batch Size = 128, Examples/Sec = 20506.91, Accuracy = 0.41, Loss = 2.276
[2019-05-04 13:41] Train Step 0570/10000, Batch Size = 128, Examples/Sec = 18271.48, Accuracy = 0.41, Loss = 2.005
[2019-05-04 13:41] Train Step 0580/10000, Batch Size = 128, Examples/Sec = 20253.93, Accuracy = 0.48, Loss = 1.744
[2019-05-04 13:41] Train Step 0590/10000, Batch Size = 128, Examples/Sec = 19130.92, Accuracy = 0.41, Loss = 2.121
[2019-05-04 13:41] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 21095.12, Accuracy = 0.45, Loss = 1.956
[2019-05-04 13:41] Train Step 0610/10000, Batch Size = 128, Examples/Sec = 20706.22, Accuracy = 0.37, Loss = 2.019
[2019-05-04 13:41] Train Step 0620/10000, Batch Size = 128, Examples/Sec = 23045.63, Accuracy = 0.41, Loss = 2.005
[2019-05-04 13:41] Train Step 0630/10000, Batch Size = 128, Examples/Sec = 21287.51, Accuracy = 0.39, Loss = 2.009
[2019-05-04 13:41] Train Step 0640/10000, Batch Size = 128, Examples/Sec = 20301.41, Accuracy = 0.39, Loss = 1.961
[2019-05-04 13:41] Train Step 0650/10000, Batch Size = 128, Examples/Sec = 23774.29, Accuracy = 0.45, Loss = 1.775
[2019-05-04 13:41] Train Step 0660/10000, Batch Size = 128, Examples/Sec = 20594.23, Accuracy = 0.44, Loss = 1.738
[2019-05-04 13:41] Train Step 0670/10000, Batch Size = 128, Examples/Sec = 24441.00, Accuracy = 0.42, Loss = 1.890
[2019-05-04 13:41] Train Step 0680/10000, Batch Size = 128, Examples/Sec = 20970.70, Accuracy = 0.42, Loss = 1.989
[2019-05-04 13:41] Train Step 0690/10000, Batch Size = 128, Examples/Sec = 19599.55, Accuracy = 0.48, Loss = 1.816
[2019-05-04 13:41] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 19017.07, Accuracy = 0.42, Loss = 1.839
[2019-05-04 13:41] Train Step 0710/10000, Batch Size = 128, Examples/Sec = 20705.42, Accuracy = 0.41, Loss = 1.885
[2019-05-04 13:41] Train Step 0720/10000, Batch Size = 128, Examples/Sec = 18750.73, Accuracy = 0.42, Loss = 1.623
[2019-05-04 13:41] Train Step 0730/10000, Batch Size = 128, Examples/Sec = 22674.79, Accuracy = 0.45, Loss = 1.842
[2019-05-04 13:41] Train Step 0740/10000, Batch Size = 128, Examples/Sec = 19728.47, Accuracy = 0.38, Loss = 1.848
[2019-05-04 13:41] Train Step 0750/10000, Batch Size = 128, Examples/Sec = 24980.03, Accuracy = 0.43, Loss = 1.724
[2019-05-04 13:41] Train Step 0760/10000, Batch Size = 128, Examples/Sec = 19160.96, Accuracy = 0.50, Loss = 1.741
[2019-05-04 13:41] Train Step 0770/10000, Batch Size = 128, Examples/Sec = 18539.00, Accuracy = 0.42, Loss = 1.824
[2019-05-04 13:41] Train Step 0780/10000, Batch Size = 128, Examples/Sec = 19675.69, Accuracy = 0.45, Loss = 1.568
[2019-05-04 13:41] Train Step 0790/10000, Batch Size = 128, Examples/Sec = 20994.48, Accuracy = 0.48, Loss = 1.610
[2019-05-04 13:41] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 18655.60, Accuracy = 0.48, Loss = 1.624
[2019-05-04 13:41] Train Step 0810/10000, Batch Size = 128, Examples/Sec = 18673.77, Accuracy = 0.34, Loss = 1.805
[2019-05-04 13:41] Train Step 0820/10000, Batch Size = 128, Examples/Sec = 23552.13, Accuracy = 0.42, Loss = 1.666
[2019-05-04 13:41] Train Step 0830/10000, Batch Size = 128, Examples/Sec = 21117.53, Accuracy = 0.52, Loss = 1.522
[2019-05-04 13:41] Train Step 0840/10000, Batch Size = 128, Examples/Sec = 20722.21, Accuracy = 0.48, Loss = 1.699
[2019-05-04 13:41] Train Step 0850/10000, Batch Size = 128, Examples/Sec = 21829.35, Accuracy = 0.52, Loss = 1.321
[2019-05-04 13:41] Train Step 0860/10000, Batch Size = 128, Examples/Sec = 21051.28, Accuracy = 0.47, Loss = 1.752
[2019-05-04 13:41] Train Step 0870/10000, Batch Size = 128, Examples/Sec = 21906.84, Accuracy = 0.44, Loss = 1.693
[2019-05-04 13:41] Train Step 0880/10000, Batch Size = 128, Examples/Sec = 20349.12, Accuracy = 0.45, Loss = 1.689
[2019-05-04 13:41] Train Step 0890/10000, Batch Size = 128, Examples/Sec = 24284.01, Accuracy = 0.41, Loss = 2.002
[2019-05-04 13:41] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 22012.83, Accuracy = 0.41, Loss = 1.677
[2019-05-04 13:41] Train Step 0910/10000, Batch Size = 128, Examples/Sec = 22145.40, Accuracy = 0.48, Loss = 1.473
[2019-05-04 13:41] Train Step 0920/10000, Batch Size = 128, Examples/Sec = 21322.17, Accuracy = 0.43, Loss = 1.617
[2019-05-04 13:41] Train Step 0930/10000, Batch Size = 128, Examples/Sec = 19233.72, Accuracy = 0.48, Loss = 1.393
[2019-05-04 13:41] Train Step 0940/10000, Batch Size = 128, Examples/Sec = 21210.13, Accuracy = 0.42, Loss = 1.644
[2019-05-04 13:41] Train Step 0950/10000, Batch Size = 128, Examples/Sec = 22030.90, Accuracy = 0.49, Loss = 1.411
[2019-05-04 13:41] Train Step 0960/10000, Batch Size = 128, Examples/Sec = 22874.77, Accuracy = 0.44, Loss = 1.676
[2019-05-04 13:41] Train Step 0970/10000, Batch Size = 128, Examples/Sec = 24264.26, Accuracy = 0.47, Loss = 1.689
[2019-05-04 13:41] Train Step 0980/10000, Batch Size = 128, Examples/Sec = 18678.97, Accuracy = 0.48, Loss = 1.387
[2019-05-04 13:41] Train Step 0990/10000, Batch Size = 128, Examples/Sec = 19174.65, Accuracy = 0.53, Loss = 1.371
[2019-05-04 13:41] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 21786.82, Accuracy = 0.48, Loss = 1.684
[2019-05-04 13:41] Train Step 1010/10000, Batch Size = 128, Examples/Sec = 23037.72, Accuracy = 0.52, Loss = 1.450
[2019-05-04 13:41] Train Step 1020/10000, Batch Size = 128, Examples/Sec = 22327.76, Accuracy = 0.42, Loss = 1.883
[2019-05-04 13:41] Train Step 1030/10000, Batch Size = 128, Examples/Sec = 20428.10, Accuracy = 0.48, Loss = 1.288
[2019-05-04 13:41] Train Step 1040/10000, Batch Size = 128, Examples/Sec = 18611.62, Accuracy = 0.45, Loss = 1.436
[2019-05-04 13:41] Train Step 1050/10000, Batch Size = 128, Examples/Sec = 22972.65, Accuracy = 0.55, Loss = 1.437
[2019-05-04 13:41] Train Step 1060/10000, Batch Size = 128, Examples/Sec = 24513.53, Accuracy = 0.55, Loss = 1.388
[2019-05-04 13:41] Train Step 1070/10000, Batch Size = 128, Examples/Sec = 24353.41, Accuracy = 0.45, Loss = 1.504
[2019-05-04 13:41] Train Step 1080/10000, Batch Size = 128, Examples/Sec = 22649.91, Accuracy = 0.54, Loss = 1.362
[2019-05-04 13:41] Train Step 1090/10000, Batch Size = 128, Examples/Sec = 18821.07, Accuracy = 0.45, Loss = 1.555
[2019-05-04 13:41] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 23550.07, Accuracy = 0.45, Loss = 1.393
[2019-05-04 13:41] Train Step 1110/10000, Batch Size = 128, Examples/Sec = 21606.20, Accuracy = 0.44, Loss = 1.637
[2019-05-04 13:41] Train Step 1120/10000, Batch Size = 128, Examples/Sec = 21926.52, Accuracy = 0.48, Loss = 1.278
[2019-05-04 13:41] Train Step 1130/10000, Batch Size = 128, Examples/Sec = 22779.66, Accuracy = 0.47, Loss = 1.673
[2019-05-04 13:41] Train Step 1140/10000, Batch Size = 128, Examples/Sec = 22466.98, Accuracy = 0.46, Loss = 1.541
[2019-05-04 13:41] Train Step 1150/10000, Batch Size = 128, Examples/Sec = 21848.00, Accuracy = 0.48, Loss = 1.709
[2019-05-04 13:41] Train Step 1160/10000, Batch Size = 128, Examples/Sec = 21932.79, Accuracy = 0.53, Loss = 1.546
[2019-05-04 13:41] Train Step 1170/10000, Batch Size = 128, Examples/Sec = 20124.86, Accuracy = 0.51, Loss = 1.302
[2019-05-04 13:41] Train Step 1180/10000, Batch Size = 128, Examples/Sec = 23534.58, Accuracy = 0.51, Loss = 1.402
[2019-05-04 13:41] Train Step 1190/10000, Batch Size = 128, Examples/Sec = 22474.50, Accuracy = 0.44, Loss = 1.475
[2019-05-04 13:41] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 21627.09, Accuracy = 0.54, Loss = 1.315
[2019-05-04 13:41] Train Step 1210/10000, Batch Size = 128, Examples/Sec = 22008.32, Accuracy = 0.52, Loss = 1.296
[2019-05-04 13:41] Train Step 1220/10000, Batch Size = 128, Examples/Sec = 18811.83, Accuracy = 0.55, Loss = 1.290
[2019-05-04 13:41] Train Step 1230/10000, Batch Size = 128, Examples/Sec = 22043.56, Accuracy = 0.60, Loss = 1.108
[2019-05-04 13:41] Train Step 1240/10000, Batch Size = 128, Examples/Sec = 22308.27, Accuracy = 0.51, Loss = 1.195
[2019-05-04 13:41] Train Step 1250/10000, Batch Size = 128, Examples/Sec = 21767.39, Accuracy = 0.48, Loss = 1.252
[2019-05-04 13:41] Train Step 1260/10000, Batch Size = 128, Examples/Sec = 23745.89, Accuracy = 0.54, Loss = 1.170
[2019-05-04 13:41] Train Step 1270/10000, Batch Size = 128, Examples/Sec = 22552.86, Accuracy = 0.57, Loss = 1.127
[2019-05-04 13:41] Train Step 1280/10000, Batch Size = 128, Examples/Sec = 21582.75, Accuracy = 0.59, Loss = 1.075
[2019-05-04 13:41] Train Step 1290/10000, Batch Size = 128, Examples/Sec = 22209.53, Accuracy = 0.48, Loss = 1.428
[2019-05-04 13:41] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 19341.82, Accuracy = 0.53, Loss = 1.227
[2019-05-04 13:41] Train Step 1310/10000, Batch Size = 128, Examples/Sec = 19302.18, Accuracy = 0.50, Loss = 1.295
[2019-05-04 13:41] Train Step 1320/10000, Batch Size = 128, Examples/Sec = 21918.47, Accuracy = 0.51, Loss = 1.301
[2019-05-04 13:41] Train Step 1330/10000, Batch Size = 128, Examples/Sec = 22010.12, Accuracy = 0.55, Loss = 1.148
[2019-05-04 13:41] Train Step 1340/10000, Batch Size = 128, Examples/Sec = 22196.67, Accuracy = 0.57, Loss = 1.166
[2019-05-04 13:41] Train Step 1350/10000, Batch Size = 128, Examples/Sec = 19224.77, Accuracy = 0.51, Loss = 1.179
[2019-05-04 13:41] Train Step 1360/10000, Batch Size = 128, Examples/Sec = 19063.66, Accuracy = 0.55, Loss = 1.260
[2019-05-04 13:41] Train Step 1370/10000, Batch Size = 128, Examples/Sec = 23153.96, Accuracy = 0.62, Loss = 1.119
[2019-05-04 13:41] Train Step 1380/10000, Batch Size = 128, Examples/Sec = 21926.52, Accuracy = 0.55, Loss = 1.106
[2019-05-04 13:41] Train Step 1390/10000, Batch Size = 128, Examples/Sec = 24194.27, Accuracy = 0.54, Loss = 1.115
[2019-05-04 13:41] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 23299.67, Accuracy = 0.52, Loss = 1.333
[2019-05-04 13:41] Train Step 1410/10000, Batch Size = 128, Examples/Sec = 21443.96, Accuracy = 0.53, Loss = 1.255
[2019-05-04 13:41] Train Step 1420/10000, Batch Size = 128, Examples/Sec = 24445.45, Accuracy = 0.54, Loss = 1.244
[2019-05-04 13:41] Train Step 1430/10000, Batch Size = 128, Examples/Sec = 22714.12, Accuracy = 0.59, Loss = 1.054
[2019-05-04 13:41] Train Step 1440/10000, Batch Size = 128, Examples/Sec = 21887.19, Accuracy = 0.56, Loss = 1.209
[2019-05-04 13:41] Train Step 1450/10000, Batch Size = 128, Examples/Sec = 21790.36, Accuracy = 0.55, Loss = 1.326
[2019-05-04 13:41] Train Step 1460/10000, Batch Size = 128, Examples/Sec = 19098.25, Accuracy = 0.53, Loss = 1.077
[2019-05-04 13:41] Train Step 1470/10000, Batch Size = 128, Examples/Sec = 20467.04, Accuracy = 0.61, Loss = 0.908
[2019-05-04 13:41] Train Step 1480/10000, Batch Size = 128, Examples/Sec = 22561.39, Accuracy = 0.47, Loss = 1.333
[2019-05-04 13:41] Train Step 1490/10000, Batch Size = 128, Examples/Sec = 24219.38, Accuracy = 0.54, Loss = 1.123
[2019-05-04 13:41] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 21960.61, Accuracy = 0.49, Loss = 1.318
[2019-05-04 13:41] Train Step 1510/10000, Batch Size = 128, Examples/Sec = 21306.94, Accuracy = 0.62, Loss = 1.021
[2019-05-04 13:41] Train Step 1520/10000, Batch Size = 128, Examples/Sec = 22355.65, Accuracy = 0.59, Loss = 1.175
[2019-05-04 13:41] Train Step 1530/10000, Batch Size = 128, Examples/Sec = 22185.67, Accuracy = 0.59, Loss = 1.181
[2019-05-04 13:41] Train Step 1540/10000, Batch Size = 128, Examples/Sec = 21837.34, Accuracy = 0.57, Loss = 1.090
[2019-05-04 13:41] Train Step 1550/10000, Batch Size = 128, Examples/Sec = 19246.13, Accuracy = 0.62, Loss = 1.062
[2019-05-04 13:41] Train Step 1560/10000, Batch Size = 128, Examples/Sec = 17520.18, Accuracy = 0.51, Loss = 1.201
[2019-05-04 13:41] Train Step 1570/10000, Batch Size = 128, Examples/Sec = 23153.96, Accuracy = 0.50, Loss = 1.247
[2019-05-04 13:41] Train Step 1580/10000, Batch Size = 128, Examples/Sec = 20991.20, Accuracy = 0.58, Loss = 1.163
[2019-05-04 13:41] Train Step 1590/10000, Batch Size = 128, Examples/Sec = 21837.34, Accuracy = 0.56, Loss = 1.168
[2019-05-04 13:41] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 20376.93, Accuracy = 0.59, Loss = 0.982
[2019-05-04 13:41] Train Step 1610/10000, Batch Size = 128, Examples/Sec = 22071.65, Accuracy = 0.59, Loss = 1.000
[2019-05-04 13:41] Train Step 1620/10000, Batch Size = 128, Examples/Sec = 19213.76, Accuracy = 0.58, Loss = 1.009
[2019-05-04 13:41] Train Step 1630/10000, Batch Size = 128, Examples/Sec = 21278.23, Accuracy = 0.57, Loss = 1.003
[2019-05-04 13:41] Train Step 1640/10000, Batch Size = 128, Examples/Sec = 21848.00, Accuracy = 0.58, Loss = 1.159
[2019-05-04 13:41] Train Step 1650/10000, Batch Size = 128, Examples/Sec = 21268.11, Accuracy = 0.63, Loss = 0.913
[2019-05-04 13:41] Train Step 1660/10000, Batch Size = 128, Examples/Sec = 23448.24, Accuracy = 0.52, Loss = 1.260
[2019-05-04 13:41] Train Step 1670/10000, Batch Size = 128, Examples/Sec = 21175.83, Accuracy = 0.60, Loss = 0.970
[2019-05-04 13:41] Train Step 1680/10000, Batch Size = 128, Examples/Sec = 19120.02, Accuracy = 0.61, Loss = 0.976
[2019-05-04 13:41] Train Step 1690/10000, Batch Size = 128, Examples/Sec = 21731.27, Accuracy = 0.66, Loss = 0.840
[2019-05-04 13:41] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 21999.30, Accuracy = 0.70, Loss = 0.980
[2019-05-04 13:41] Train Step 1710/10000, Batch Size = 128, Examples/Sec = 20963.33, Accuracy = 0.55, Loss = 1.148
[2019-05-04 13:41] Train Step 1720/10000, Batch Size = 128, Examples/Sec = 21907.73, Accuracy = 0.70, Loss = 0.889
[2019-05-04 13:41] Train Step 1730/10000, Batch Size = 128, Examples/Sec = 21875.60, Accuracy = 0.55, Loss = 1.053
[2019-05-04 13:41] Train Step 1740/10000, Batch Size = 128, Examples/Sec = 18450.44, Accuracy = 0.55, Loss = 1.044
[2019-05-04 13:41] Train Step 1750/10000, Batch Size = 128, Examples/Sec = 20317.55, Accuracy = 0.60, Loss = 0.991
[2019-05-04 13:41] Train Step 1760/10000, Batch Size = 128, Examples/Sec = 23370.66, Accuracy = 0.59, Loss = 0.964
[2019-05-04 13:41] Train Step 1770/10000, Batch Size = 128, Examples/Sec = 18633.59, Accuracy = 0.60, Loss = 1.037
[2019-05-04 13:41] Train Step 1780/10000, Batch Size = 128, Examples/Sec = 19100.29, Accuracy = 0.65, Loss = 0.958
[2019-05-04 13:41] Train Step 1790/10000, Batch Size = 128, Examples/Sec = 24398.79, Accuracy = 0.60, Loss = 0.965
[2019-05-04 13:41] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 20826.71, Accuracy = 0.64, Loss = 0.940
[2019-05-04 13:41] Train Step 1810/10000, Batch Size = 128, Examples/Sec = 22415.39, Accuracy = 0.56, Loss = 1.005
[2019-05-04 13:41] Train Step 1820/10000, Batch Size = 128, Examples/Sec = 18706.30, Accuracy = 0.61, Loss = 0.914
[2019-05-04 13:41] Train Step 1830/10000, Batch Size = 128, Examples/Sec = 20826.71, Accuracy = 0.61, Loss = 1.074
[2019-05-04 13:41] Train Step 1840/10000, Batch Size = 128, Examples/Sec = 19972.88, Accuracy = 0.66, Loss = 0.869
[2019-05-04 13:41] Train Step 1850/10000, Batch Size = 128, Examples/Sec = 18124.67, Accuracy = 0.64, Loss = 0.965
[2019-05-04 13:41] Train Step 1860/10000, Batch Size = 128, Examples/Sec = 21936.38, Accuracy = 0.66, Loss = 0.905
[2019-05-04 13:41] Train Step 1870/10000, Batch Size = 128, Examples/Sec = 20865.56, Accuracy = 0.64, Loss = 1.000
[2019-05-04 13:41] Train Step 1880/10000, Batch Size = 128, Examples/Sec = 21780.64, Accuracy = 0.69, Loss = 0.824
[2019-05-04 13:41] Train Step 1890/10000, Batch Size = 128, Examples/Sec = 21641.91, Accuracy = 0.65, Loss = 0.921
[2019-05-04 13:41] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 25823.52, Accuracy = 0.59, Loss = 0.897
[2019-05-04 13:41] Train Step 1910/10000, Batch Size = 128, Examples/Sec = 20410.24, Accuracy = 0.60, Loss = 0.926
[2019-05-04 13:41] Train Step 1920/10000, Batch Size = 128, Examples/Sec = 21080.21, Accuracy = 0.58, Loss = 1.062
[2019-05-04 13:41] Train Step 1930/10000, Batch Size = 128, Examples/Sec = 21914.89, Accuracy = 0.66, Loss = 0.833
[2019-05-04 13:41] Train Step 1940/10000, Batch Size = 128, Examples/Sec = 23007.11, Accuracy = 0.59, Loss = 0.980
[2019-05-04 13:41] Train Step 1950/10000, Batch Size = 128, Examples/Sec = 18747.46, Accuracy = 0.59, Loss = 1.001
[2019-05-04 13:41] Train Step 1960/10000, Batch Size = 128, Examples/Sec = 22780.62, Accuracy = 0.62, Loss = 0.853
[2019-05-04 13:41] Train Step 1970/10000, Batch Size = 128, Examples/Sec = 23123.05, Accuracy = 0.66, Loss = 0.925
[2019-05-04 13:41] Train Step 1980/10000, Batch Size = 128, Examples/Sec = 25028.95, Accuracy = 0.54, Loss = 1.127
[2019-05-04 13:41] Train Step 1990/10000, Batch Size = 128, Examples/Sec = 21306.09, Accuracy = 0.59, Loss = 0.992
[2019-05-04 13:41] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 23005.14, Accuracy = 0.58, Loss = 0.954
[2019-05-04 13:41] Train Step 2010/10000, Batch Size = 128, Examples/Sec = 21871.14, Accuracy = 0.62, Loss = 0.834
[2019-05-04 13:41] Train Step 2020/10000, Batch Size = 128, Examples/Sec = 21897.90, Accuracy = 0.65, Loss = 0.796
[2019-05-04 13:41] Train Step 2030/10000, Batch Size = 128, Examples/Sec = 22572.78, Accuracy = 0.62, Loss = 0.995
[2019-05-04 13:41] Train Step 2040/10000, Batch Size = 128, Examples/Sec = 19821.71, Accuracy = 0.61, Loss = 0.946
[2019-05-04 13:41] Train Step 2050/10000, Batch Size = 128, Examples/Sec = 19664.88, Accuracy = 0.62, Loss = 0.869
[2019-05-04 13:41] Train Step 2060/10000, Batch Size = 128, Examples/Sec = 19224.08, Accuracy = 0.56, Loss = 1.052
[2019-05-04 13:41] Train Step 2070/10000, Batch Size = 128, Examples/Sec = 20629.05, Accuracy = 0.68, Loss = 0.844
