/var/spool/slurm-llnl/slurmd/job2259371/slurm_script: line 20: cd: /home/lgpu0417/deep-learning/assignment_2/part1/: Permission denied
 ------ Job mlp_pytorch is started ------- 
 
Training RNN
[2019-05-04 12:53] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 196.19, Accuracy = 0.12, Loss = 16.725
[2019-05-04 12:53] Train Step 0450/10000, Batch Size = 128, Examples/Sec = 20224.17, Accuracy = 0.25, Loss = 4.313
[2019-05-04 12:53] Train Step 0460/10000, Batch Size = 128, Examples/Sec = 19797.59, Accuracy = 0.20, Loss = 4.608
[2019-05-04 12:53] Train Step 0470/10000, Batch Size = 128, Examples/Sec = 20591.86, Accuracy = 0.26, Loss = 3.945
[2019-05-04 12:53] Train Step 0480/10000, Batch Size = 128, Examples/Sec = 22569.93, Accuracy = 0.32, Loss = 4.177
[2019-05-04 12:53] Train Step 0490/10000, Batch Size = 128, Examples/Sec = 20289.14, Accuracy = 0.25, Loss = 4.516
[2019-05-04 12:53] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 19675.69, Accuracy = 0.30, Loss = 4.162
[2019-05-04 12:53] Train Step 0510/10000, Batch Size = 128, Examples/Sec = 19118.65, Accuracy = 0.33, Loss = 4.070
[2019-05-04 12:53] Train Step 0520/10000, Batch Size = 128, Examples/Sec = 22808.69, Accuracy = 0.23, Loss = 4.428
[2019-05-04 12:53] Train Step 0530/10000, Batch Size = 128, Examples/Sec = 20412.57, Accuracy = 0.30, Loss = 3.869
[2019-05-04 12:53] Train Step 0540/10000, Batch Size = 128, Examples/Sec = 23818.59, Accuracy = 0.24, Loss = 4.191
[2019-05-04 12:53] Train Step 0550/10000, Batch Size = 128, Examples/Sec = 20054.20, Accuracy = 0.28, Loss = 4.115
[2019-05-04 12:53] Train Step 0560/10000, Batch Size = 128, Examples/Sec = 21372.25, Accuracy = 0.34, Loss = 3.601
[2019-05-04 12:53] Train Step 0570/10000, Batch Size = 128, Examples/Sec = 21009.27, Accuracy = 0.30, Loss = 3.877
[2019-05-04 12:53] Train Step 0580/10000, Batch Size = 128, Examples/Sec = 20144.49, Accuracy = 0.27, Loss = 4.126
[2019-05-04 12:53] Train Step 0590/10000, Batch Size = 128, Examples/Sec = 22513.14, Accuracy = 0.28, Loss = 3.501
[2019-05-04 12:53] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 20772.72, Accuracy = 0.29, Loss = 4.108
[2019-05-04 12:53] Train Step 0610/10000, Batch Size = 128, Examples/Sec = 21628.83, Accuracy = 0.30, Loss = 3.592
[2019-05-04 12:53] Train Step 0620/10000, Batch Size = 128, Examples/Sec = 19782.27, Accuracy = 0.27, Loss = 3.675
[2019-05-04 12:53] Train Step 0630/10000, Batch Size = 128, Examples/Sec = 19215.14, Accuracy = 0.27, Loss = 3.822
[2019-05-04 12:53] Train Step 0640/10000, Batch Size = 128, Examples/Sec = 23071.38, Accuracy = 0.29, Loss = 3.547
[2019-05-04 12:53] Train Step 0650/10000, Batch Size = 128, Examples/Sec = 20189.19, Accuracy = 0.34, Loss = 3.651
[2019-05-04 12:53] Train Step 0660/10000, Batch Size = 128, Examples/Sec = 24653.12, Accuracy = 0.30, Loss = 3.271
[2019-05-04 12:53] Train Step 0670/10000, Batch Size = 128, Examples/Sec = 19232.35, Accuracy = 0.32, Loss = 3.688
[2019-05-04 12:53] Train Step 0680/10000, Batch Size = 128, Examples/Sec = 19857.63, Accuracy = 0.26, Loss = 3.613
[2019-05-04 12:53] Train Step 0690/10000, Batch Size = 128, Examples/Sec = 19700.24, Accuracy = 0.33, Loss = 3.345
[2019-05-04 12:53] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 19204.14, Accuracy = 0.27, Loss = 3.548
[2019-05-04 12:53] Train Step 0710/10000, Batch Size = 128, Examples/Sec = 20332.94, Accuracy = 0.26, Loss = 3.413
[2019-05-04 12:53] Train Step 0720/10000, Batch Size = 128, Examples/Sec = 19121.38, Accuracy = 0.38, Loss = 2.892
[2019-05-04 12:53] Train Step 0730/10000, Batch Size = 128, Examples/Sec = 19363.45, Accuracy = 0.41, Loss = 2.955
[2019-05-04 12:53] Train Step 0740/10000, Batch Size = 128, Examples/Sec = 21429.41, Accuracy = 0.31, Loss = 3.403
[2019-05-04 12:53] Train Step 0750/10000, Batch Size = 128, Examples/Sec = 20723.81, Accuracy = 0.30, Loss = 3.525
[2019-05-04 12:53] Train Step 0760/10000, Batch Size = 128, Examples/Sec = 22392.01, Accuracy = 0.32, Loss = 3.181
[2019-05-04 12:53] Train Step 0770/10000, Batch Size = 128, Examples/Sec = 19860.57, Accuracy = 0.27, Loss = 3.675
[2019-05-04 12:53] Train Step 0780/10000, Batch Size = 128, Examples/Sec = 21699.64, Accuracy = 0.35, Loss = 2.872
[2019-05-04 12:53] Train Step 0790/10000, Batch Size = 128, Examples/Sec = 19313.29, Accuracy = 0.27, Loss = 3.032
[2019-05-04 12:53] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 23790.09, Accuracy = 0.35, Loss = 3.272
[2019-05-04 12:53] Train Step 0810/10000, Batch Size = 128, Examples/Sec = 21159.14, Accuracy = 0.34, Loss = 3.053
[2019-05-04 12:53] Train Step 0820/10000, Batch Size = 128, Examples/Sec = 21718.96, Accuracy = 0.31, Loss = 2.725
[2019-05-04 12:53] Train Step 0830/10000, Batch Size = 128, Examples/Sec = 22544.34, Accuracy = 0.37, Loss = 2.739
[2019-05-04 12:53] Train Step 0840/10000, Batch Size = 128, Examples/Sec = 21983.09, Accuracy = 0.38, Loss = 2.836
[2019-05-04 12:53] Train Step 0850/10000, Batch Size = 128, Examples/Sec = 20244.00, Accuracy = 0.31, Loss = 2.797
[2019-05-04 12:53] Train Step 0860/10000, Batch Size = 128, Examples/Sec = 23865.17, Accuracy = 0.32, Loss = 2.860
[2019-05-04 12:53] Train Step 0870/10000, Batch Size = 128, Examples/Sec = 21390.98, Accuracy = 0.38, Loss = 2.471
[2019-05-04 12:53] Train Step 0880/10000, Batch Size = 128, Examples/Sec = 22798.03, Accuracy = 0.34, Loss = 3.388
[2019-05-04 12:53] Train Step 0890/10000, Batch Size = 128, Examples/Sec = 19178.76, Accuracy = 0.35, Loss = 2.935
[2019-05-04 12:53] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 22372.42, Accuracy = 0.34, Loss = 3.095
[2019-05-04 12:53] Train Step 0910/10000, Batch Size = 128, Examples/Sec = 19364.14, Accuracy = 0.38, Loss = 2.645
[2019-05-04 12:53] Train Step 0920/10000, Batch Size = 128, Examples/Sec = 22261.10, Accuracy = 0.40, Loss = 2.724
[2019-05-04 12:53] Train Step 0930/10000, Batch Size = 128, Examples/Sec = 22471.68, Accuracy = 0.42, Loss = 2.606
[2019-05-04 12:53] Train Step 0940/10000, Batch Size = 128, Examples/Sec = 20210.47, Accuracy = 0.30, Loss = 2.767
[2019-05-04 12:53] Train Step 0950/10000, Batch Size = 128, Examples/Sec = 21026.55, Accuracy = 0.33, Loss = 2.945
[2019-05-04 12:53] Train Step 0960/10000, Batch Size = 128, Examples/Sec = 19891.48, Accuracy = 0.26, Loss = 2.823
[2019-05-04 12:53] Train Step 0970/10000, Batch Size = 128, Examples/Sec = 21256.32, Accuracy = 0.30, Loss = 2.829
[2019-05-04 12:53] Train Step 0980/10000, Batch Size = 128, Examples/Sec = 22512.20, Accuracy = 0.45, Loss = 2.294
[2019-05-04 12:53] Train Step 0990/10000, Batch Size = 128, Examples/Sec = 20063.94, Accuracy = 0.33, Loss = 2.664
[2019-05-04 12:53] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 20146.01, Accuracy = 0.36, Loss = 2.369
[2019-05-04 12:53] Train Step 1010/10000, Batch Size = 128, Examples/Sec = 19649.77, Accuracy = 0.38, Loss = 3.056
[2019-05-04 12:53] Train Step 1020/10000, Batch Size = 128, Examples/Sec = 20422.66, Accuracy = 0.34, Loss = 2.297
[2019-05-04 12:53] Train Step 1030/10000, Batch Size = 128, Examples/Sec = 23551.10, Accuracy = 0.34, Loss = 2.857
[2019-05-04 12:53] Train Step 1040/10000, Batch Size = 128, Examples/Sec = 19330.68, Accuracy = 0.38, Loss = 2.200
[2019-05-04 12:53] Train Step 1050/10000, Batch Size = 128, Examples/Sec = 21411.46, Accuracy = 0.34, Loss = 2.648
[2019-05-04 12:53] Train Step 1060/10000, Batch Size = 128, Examples/Sec = 19202.77, Accuracy = 0.28, Loss = 2.924
[2019-05-04 12:53] Train Step 1070/10000, Batch Size = 128, Examples/Sec = 21375.65, Accuracy = 0.34, Loss = 2.531
[2019-05-04 12:53] Train Step 1080/10000, Batch Size = 128, Examples/Sec = 22928.50, Accuracy = 0.30, Loss = 2.835
[2019-05-04 12:53] Train Step 1090/10000, Batch Size = 128, Examples/Sec = 21733.90, Accuracy = 0.27, Loss = 2.776
[2019-05-04 12:53] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 20324.47, Accuracy = 0.34, Loss = 2.581
[2019-05-04 12:53] Train Step 1110/10000, Batch Size = 128, Examples/Sec = 20167.95, Accuracy = 0.41, Loss = 2.187
[2019-05-04 12:53] Train Step 1120/10000, Batch Size = 128, Examples/Sec = 19783.72, Accuracy = 0.34, Loss = 2.658
[2019-05-04 12:53] Train Step 1130/10000, Batch Size = 128, Examples/Sec = 22045.37, Accuracy = 0.29, Loss = 2.398
[2019-05-04 12:53] Train Step 1140/10000, Batch Size = 128, Examples/Sec = 19354.37, Accuracy = 0.41, Loss = 2.108
[2019-05-04 12:53] Train Step 1150/10000, Batch Size = 128, Examples/Sec = 21350.15, Accuracy = 0.38, Loss = 2.141
[2019-05-04 12:53] Train Step 1160/10000, Batch Size = 128, Examples/Sec = 22274.95, Accuracy = 0.45, Loss = 2.119
[2019-05-04 12:53] Train Step 1170/10000, Batch Size = 128, Examples/Sec = 21824.91, Accuracy = 0.47, Loss = 2.029
[2019-05-04 12:53] Train Step 1180/10000, Batch Size = 128, Examples/Sec = 19446.91, Accuracy = 0.36, Loss = 2.412
[2019-05-04 12:53] Train Step 1190/10000, Batch Size = 128, Examples/Sec = 21244.55, Accuracy = 0.30, Loss = 2.325
[2019-05-04 12:53] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 20276.88, Accuracy = 0.38, Loss = 2.365
[2019-05-04 12:53] Train Step 1210/10000, Batch Size = 128, Examples/Sec = 22048.09, Accuracy = 0.39, Loss = 2.241
[2019-05-04 12:53] Train Step 1220/10000, Batch Size = 128, Examples/Sec = 19885.58, Accuracy = 0.27, Loss = 2.769
[2019-05-04 12:53] Train Step 1230/10000, Batch Size = 128, Examples/Sec = 19323.72, Accuracy = 0.37, Loss = 2.189
[2019-05-04 12:53] Train Step 1240/10000, Batch Size = 128, Examples/Sec = 23302.70, Accuracy = 0.41, Loss = 2.012
[2019-05-04 12:53] Train Step 1250/10000, Batch Size = 128, Examples/Sec = 19486.44, Accuracy = 0.30, Loss = 2.514
[2019-05-04 12:53] Train Step 1260/10000, Batch Size = 128, Examples/Sec = 22793.19, Accuracy = 0.34, Loss = 2.637
[2019-05-04 12:53] Train Step 1270/10000, Batch Size = 128, Examples/Sec = 22272.18, Accuracy = 0.36, Loss = 2.346
[2019-05-04 12:53] Train Step 1280/10000, Batch Size = 128, Examples/Sec = 19301.49, Accuracy = 0.36, Loss = 2.392
[2019-05-04 12:53] Train Step 1290/10000, Batch Size = 128, Examples/Sec = 21425.13, Accuracy = 0.34, Loss = 2.418
[2019-05-04 12:53] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 21359.50, Accuracy = 0.38, Loss = 1.937
[2019-05-04 12:53] Train Step 1310/10000, Batch Size = 128, Examples/Sec = 22468.86, Accuracy = 0.35, Loss = 2.150
[2019-05-04 12:53] Train Step 1320/10000, Batch Size = 128, Examples/Sec = 20196.02, Accuracy = 0.31, Loss = 2.577
[2019-05-04 12:53] Train Step 1330/10000, Batch Size = 128, Examples/Sec = 21599.25, Accuracy = 0.37, Loss = 2.360
[2019-05-04 12:53] Train Step 1340/10000, Batch Size = 128, Examples/Sec = 19207.57, Accuracy = 0.37, Loss = 1.930
[2019-05-04 12:53] Train Step 1350/10000, Batch Size = 128, Examples/Sec = 19196.59, Accuracy = 0.36, Loss = 2.192
[2019-05-04 12:53] Train Step 1360/10000, Batch Size = 128, Examples/Sec = 19668.48, Accuracy = 0.35, Loss = 2.274
[2019-05-04 12:53] Train Step 1370/10000, Batch Size = 128, Examples/Sec = 20721.41, Accuracy = 0.41, Loss = 1.989
[2019-05-04 12:53] Train Step 1380/10000, Batch Size = 128, Examples/Sec = 21284.13, Accuracy = 0.37, Loss = 2.259
[2019-05-04 12:53] Train Step 1390/10000, Batch Size = 128, Examples/Sec = 20180.84, Accuracy = 0.34, Loss = 2.194
[2019-05-04 12:53] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 21592.30, Accuracy = 0.38, Loss = 2.254
[2019-05-04 12:53] Train Step 1410/10000, Batch Size = 128, Examples/Sec = 23959.96, Accuracy = 0.42, Loss = 1.869
[2019-05-04 12:53] Train Step 1420/10000, Batch Size = 128, Examples/Sec = 19754.61, Accuracy = 0.38, Loss = 1.905
[2019-05-04 12:53] Train Step 1430/10000, Batch Size = 128, Examples/Sec = 21457.67, Accuracy = 0.45, Loss = 2.024
[2019-05-04 12:53] Train Step 1440/10000, Batch Size = 128, Examples/Sec = 23244.18, Accuracy = 0.38, Loss = 2.020
[2019-05-04 12:53] Train Step 1450/10000, Batch Size = 128, Examples/Sec = 23041.67, Accuracy = 0.45, Loss = 1.721
[2019-05-04 12:53] Train Step 1460/10000, Batch Size = 128, Examples/Sec = 19745.89, Accuracy = 0.38, Loss = 1.972
[2019-05-04 12:53] Train Step 1470/10000, Batch Size = 128, Examples/Sec = 20546.94, Accuracy = 0.39, Loss = 1.810
[2019-05-04 12:53] Train Step 1480/10000, Batch Size = 128, Examples/Sec = 21009.27, Accuracy = 0.32, Loss = 2.237
[2019-05-04 12:53] Train Step 1490/10000, Batch Size = 128, Examples/Sec = 20513.96, Accuracy = 0.40, Loss = 2.004
[2019-05-04 12:53] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 19244.06, Accuracy = 0.31, Loss = 2.209
[2019-05-04 12:53] Train Step 1510/10000, Batch Size = 128, Examples/Sec = 19711.81, Accuracy = 0.34, Loss = 2.096
[2019-05-04 12:53] Train Step 1520/10000, Batch Size = 128, Examples/Sec = 19235.10, Accuracy = 0.35, Loss = 2.106
[2019-05-04 12:53] Train Step 1530/10000, Batch Size = 128, Examples/Sec = 21821.36, Accuracy = 0.45, Loss = 1.726
[2019-05-04 12:53] Train Step 1540/10000, Batch Size = 128, Examples/Sec = 19253.73, Accuracy = 0.46, Loss = 1.853
[2019-05-04 12:53] Train Step 1550/10000, Batch Size = 128, Examples/Sec = 19945.42, Accuracy = 0.44, Loss = 1.816
[2019-05-04 12:53] Train Step 1560/10000, Batch Size = 128, Examples/Sec = 21365.45, Accuracy = 0.38, Loss = 1.970
[2019-05-04 12:53] Train Step 1570/10000, Batch Size = 128, Examples/Sec = 19680.74, Accuracy = 0.39, Loss = 1.986
[2019-05-04 12:53] Train Step 1580/10000, Batch Size = 128, Examples/Sec = 20565.04, Accuracy = 0.38, Loss = 1.883
[2019-05-04 12:53] Train Step 1590/10000, Batch Size = 128, Examples/Sec = 20240.19, Accuracy = 0.43, Loss = 1.759
[2019-05-04 12:53] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 23953.55, Accuracy = 0.39, Loss = 2.042
[2019-05-04 12:53] Train Step 1610/10000, Batch Size = 128, Examples/Sec = 19827.56, Accuracy = 0.34, Loss = 1.882
[2019-05-04 12:53] Train Step 1620/10000, Batch Size = 128, Examples/Sec = 19330.68, Accuracy = 0.41, Loss = 1.934
[2019-05-04 12:53] Train Step 1630/10000, Batch Size = 128, Examples/Sec = 19248.20, Accuracy = 0.48, Loss = 1.685
[2019-05-04 12:53] Train Step 1640/10000, Batch Size = 128, Examples/Sec = 23668.43, Accuracy = 0.40, Loss = 1.898
[2019-05-04 12:53] Train Step 1650/10000, Batch Size = 128, Examples/Sec = 21976.79, Accuracy = 0.41, Loss = 1.983
[2019-05-04 12:53] Train Step 1660/10000, Batch Size = 128, Examples/Sec = 19621.04, Accuracy = 0.44, Loss = 1.979
[2019-05-04 12:53] Train Step 1670/10000, Batch Size = 128, Examples/Sec = 20689.46, Accuracy = 0.42, Loss = 1.790
[2019-05-04 12:53] Train Step 1680/10000, Batch Size = 128, Examples/Sec = 19289.01, Accuracy = 0.41, Loss = 1.636
[2019-05-04 12:53] Train Step 1690/10000, Batch Size = 128, Examples/Sec = 21425.99, Accuracy = 0.44, Loss = 1.924
[2019-05-04 12:53] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 22915.78, Accuracy = 0.48, Loss = 1.711
[2019-05-04 12:53] Train Step 1710/10000, Batch Size = 128, Examples/Sec = 23497.50, Accuracy = 0.39, Loss = 1.909
[2019-05-04 12:53] Train Step 1720/10000, Batch Size = 128, Examples/Sec = 21862.24, Accuracy = 0.38, Loss = 1.953
[2019-05-04 12:53] Train Step 1730/10000, Batch Size = 128, Examples/Sec = 22752.62, Accuracy = 0.44, Loss = 1.834
[2019-05-04 12:53] Train Step 1740/10000, Batch Size = 128, Examples/Sec = 24140.96, Accuracy = 0.43, Loss = 1.599
[2019-05-04 12:53] Train Step 1750/10000, Batch Size = 128, Examples/Sec = 19586.68, Accuracy = 0.45, Loss = 1.923
[2019-05-04 12:53] Train Step 1760/10000, Batch Size = 128, Examples/Sec = 22956.94, Accuracy = 0.41, Loss = 1.715
[2019-05-04 12:53] Train Step 1770/10000, Batch Size = 128, Examples/Sec = 19621.04, Accuracy = 0.46, Loss = 1.537
[2019-05-04 12:53] Train Step 1780/10000, Batch Size = 128, Examples/Sec = 22802.88, Accuracy = 0.34, Loss = 1.770
[2019-05-04 12:53] Train Step 1790/10000, Batch Size = 128, Examples/Sec = 20278.41, Accuracy = 0.49, Loss = 1.533
[2019-05-04 12:53] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 19273.08, Accuracy = 0.45, Loss = 1.561
[2019-05-04 12:53] Train Step 1810/10000, Batch Size = 128, Examples/Sec = 19502.01, Accuracy = 0.41, Loss = 1.668
[2019-05-04 12:53] Train Step 1820/10000, Batch Size = 128, Examples/Sec = 20648.09, Accuracy = 0.44, Loss = 1.579
[2019-05-04 12:53] Train Step 1830/10000, Batch Size = 128, Examples/Sec = 22333.33, Accuracy = 0.42, Loss = 1.759
[2019-05-04 12:53] Train Step 1840/10000, Batch Size = 128, Examples/Sec = 23695.59, Accuracy = 0.45, Loss = 1.536
[2019-05-04 12:53] Train Step 1850/10000, Batch Size = 128, Examples/Sec = 21415.73, Accuracy = 0.47, Loss = 1.516
[2019-05-04 12:53] Train Step 1860/10000, Batch Size = 128, Examples/Sec = 22524.48, Accuracy = 0.45, Loss = 1.678
[2019-05-04 12:53] Train Step 1870/10000, Batch Size = 128, Examples/Sec = 19320.24, Accuracy = 0.44, Loss = 1.534
[2019-05-04 12:53] Train Step 1880/10000, Batch Size = 128, Examples/Sec = 20876.11, Accuracy = 0.48, Loss = 1.534
[2019-05-04 12:53] Train Step 1890/10000, Batch Size = 128, Examples/Sec = 20582.38, Accuracy = 0.53, Loss = 1.337
[2019-05-04 12:53] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 19368.34, Accuracy = 0.40, Loss = 1.789
[2019-05-04 12:53] Train Step 1910/10000, Batch Size = 128, Examples/Sec = 20002.64, Accuracy = 0.37, Loss = 1.767
[2019-05-04 12:53] Train Step 1920/10000, Batch Size = 128, Examples/Sec = 21361.19, Accuracy = 0.46, Loss = 1.378
[2019-05-04 12:53] Train Step 1930/10000, Batch Size = 128, Examples/Sec = 22953.01, Accuracy = 0.48, Loss = 1.503
[2019-05-04 12:53] Train Step 1940/10000, Batch Size = 128, Examples/Sec = 19242.69, Accuracy = 0.43, Loss = 1.674
[2019-05-04 12:53] Train Step 1950/10000, Batch Size = 128, Examples/Sec = 19751.70, Accuracy = 0.43, Loss = 1.754
[2019-05-04 12:53] Train Step 1960/10000, Batch Size = 128, Examples/Sec = 19152.07, Accuracy = 0.42, Loss = 1.811
[2019-05-04 12:53] Train Step 1970/10000, Batch Size = 128, Examples/Sec = 21007.63, Accuracy = 0.43, Loss = 1.688
[2019-05-04 12:53] Train Step 1980/10000, Batch Size = 128, Examples/Sec = 19338.34, Accuracy = 0.45, Loss = 1.585
[2019-05-04 12:53] Train Step 1990/10000, Batch Size = 128, Examples/Sec = 23084.27, Accuracy = 0.41, Loss = 1.735
[2019-05-04 12:53] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 20595.02, Accuracy = 0.38, Loss = 1.692
[2019-05-04 12:53] Train Step 2010/10000, Batch Size = 128, Examples/Sec = 20759.87, Accuracy = 0.45, Loss = 1.779
[2019-05-04 12:53] Train Step 2020/10000, Batch Size = 128, Examples/Sec = 19551.73, Accuracy = 0.41, Loss = 1.538
[2019-05-04 12:53] Train Step 2030/10000, Batch Size = 128, Examples/Sec = 24629.37, Accuracy = 0.45, Loss = 1.486
[2019-05-04 12:53] Train Step 2040/10000, Batch Size = 128, Examples/Sec = 20181.60, Accuracy = 0.48, Loss = 1.403
[2019-05-04 12:53] Train Step 2050/10000, Batch Size = 128, Examples/Sec = 20906.19, Accuracy = 0.37, Loss = 1.687
[2019-05-04 12:53] Train Step 2060/10000, Batch Size = 128, Examples/Sec = 19881.90, Accuracy = 0.52, Loss = 1.309
[2019-05-04 12:53] Train Step 2070/10000, Batch Size = 128, Examples/Sec = 20234.85, Accuracy = 0.42, Loss = 1.788
